ts,slot,metingen,neerslag_mm,nat,wind_kmh,windstoot_kmh,zicht_m,temp_c,vakantie,feestdag,schooldag,evenementen,evenement_dicht
2026-09-01T16:49+02:00,werkdag_avondspits,445,0.0,0,14.4,31.3,30860.0,21.0,,,2,0,0
2026-09-01T18:17+02:00,werkdag_avondspits,399,0.0,0,12.6,26.6,28260.0,20.5,,,2,0,0
2026-09-01T20:21+02:00,werkdag_avond,387,0.0,0,8.6,17.6,24900.0,18.9,,,2,0,0
2026-09-01T20:23+02:00,werkdag_avond,401,0.0,0,8.6,17.6,24900.0,18.9,,,2,0,0
2026-09-01T20:55+02:00,werkdag_avond,358,0.0,0,8.6,17.6,24900.0,18.9,,,2,0,0
2026-09-01T20:56+02:00,werkdag_avond,390,0.0,0,8.6,17.6,24900.0,18.9,,,2,0,0
2026-09-01T21:48+02:00,werkdag_avond,358,0.0,0,8.3,14.0,24200.0,18.5,,,2,0,0
2026-09-01T22:48+02:00,werkdag_avond,332,0.0,0,8.6,14.4,24320.0,18.5,,,2,0,0
2026-09-01T22:57+02:00,werkdag_avond,334,0.0,0,8.6,14.4,24320.0,18.5,,,2,0,0
2026-09-02T07:48+02:00,werkdag_ochtendspits,385,0.0,0,13.7,24.1,50000.0,16.3,,,3,1,0
2026-09-02T08:22+02:00,werkdag_ochtendspits,395,0.0,0,11.9,19.8,50000.0,16.6,,,3,1,0
2026-09-02T08:49+02:00,werkdag_ochtendspits,389,0.0,0,11.9,19.8,50000.0,16.6,,,3,1,0
2026-09-02T10:48+02:00,werkdag_dal,383,0.0,0,13.3,28.1,50000.0,17.4,,,3,2,0
2026-09-02T11:48+02:00,werkdag_dal,390,0.1,0,12.2,28.1,9200.0,17.0,,,3,2,0
2026-09-02T12:48+02:00,werkdag_dal,393,0.0,0,13.7,27.0,50000.0,18.0,,,3,2,0
2026-09-02T13:39+02:00,werkdag_dal,394,0.0,0,11.9,29.5,50000.0,18.0,,,3,2,0
2026-09-02T13:48+02:00,werkdag_dal,394,0.0,0,11.9,29.5,50000.0,18.0,,,3,2,0
2026-09-02T14:48+02:00,werkdag_dal,2950,0.1,0,14.0,28.4,50000.0,19.6,,,3,2,0
2026-09-02T16:49+02:00,werkdag_avondspits,3023,0.0,0,15.8,31.7,19860.0,19.8,,,3,1,0
2026-09-02T17:49+02:00,werkdag_avondspits,3009,0.0,0,12.2,31.0,26460.0,19.4,,,3,0,0
2026-09-02T18:28+02:00,werkdag_avondspits,3006,1.1,1,15.5,28.8,17400.0,19.5,,,3,0,0
2026-09-02T20:49+02:00,werkdag_avond,2957,0.0,0,12.2,25.9,50000.0,19.5,,,3,0,0
2026-09-02T21:28+02:00,werkdag_avond,2916,0.0,0,14.0,25.9,18580.0,18.8,,,3,0,0
2026-09-02T21:49+02:00,werkdag_avond,2914,0.0,0,14.0,25.9,18580.0,18.8,,,3,0,0
2026-09-02T22:48+02:00,werkdag_avond,2865,0.2,0,13.0,25.6,20460.0,19.6,,,3,0,0
2026-09-03T07:48+02:00,werkdag_ochtendspits,2990,0.0,0,18.4,36.7,11280.0,19.3,,,4,0,0
2026-09-03T08:49+02:00,werkdag_ochtendspits,2990,0.1,0,18.7,37.1,10440.0,19.2,,,4,0,0
2026-09-03T10:48+02:00,werkdag_dal,2988,0.5,1,22.0,41.0,50000.0,20.3,,,4,0,0
2026-09-03T11:08+02:00,werkdag_dal,3001,0.0,0,22.0,41.4,50000.0,20.3,,,4,0,0
2026-09-03T11:36+02:00,werkdag_dal,3001,0.0,0,22.0,41.4,50000.0,20.3,,,4,0,0
2026-09-03T11:48+02:00,werkdag_dal,2979,0.0,0,22.0,41.4,50000.0,20.3,,,4,0,0
2026-09-03T12:49+02:00,werkdag_dal,2990,0.0,0,25.6,48.2,12940.0,20.4,,,4,0,0
2026-09-03T13:48+02:00,werkdag_dal,2999,0.0,0,26.3,49.3,17700.0,21.3,,,4,0,0
2026-09-03T14:48+02:00,werkdag_dal,3002,0.0,0,27.4,51.1,50000.0,21.5,,,4,0,0
2026-09-03T16:17+02:00,werkdag_avondspits,2994,0.0,0,23.0,47.5,18800.0,22.5,,,4,0,0
2026-09-03T16:49+02:00,werkdag_avondspits,2999,0.0,0,23.0,47.5,18800.0,22.5,,,4,0,0
2026-09-03T17:48+02:00,werkdag_avondspits,3005,0.0,0,23.4,45.7,50000.0,22.4,,,4,0,0
2026-09-03T20:15+02:00,werkdag_avond,2971,0.0,0,20.9,42.1,50000.0,21.1,,,4,1,1
2026-09-03T20:48+02:00,werkdag_avond,2962,0.0,0,20.9,42.1,50000.0,21.1,,,4,1,1
2026-09-03T21:48+02:00,werkdag_avond,2950,0.0,0,19.8,40.3,50000.0,20.7,,,4,1,1
2026-09-03T22:50+02:00,werkdag_avond,2891,0.0,0,28.4,48.6,50000.0,20.6,,,4,1,1
2026-09-03T22:55+02:00,werkdag_avond,2878,0.0,0,28.4,48.6,50000.0,20.6,,,4,1,1
2026-09-04T01:12+02:00,nacht_referentie,2604,0.0,0,26.6,50.4,11120.0,20.7,,,5,1,1
2026-09-04T01:40+02:00,nacht_referentie,2539,0.0,0,26.6,50.4,11120.0,20.7,,,5,1,1
2026-09-04T01:48+02:00,nacht_referentie,2504,0.0,0,26.6,50.4,11120.0,20.7,,,5,1,1
2026-09-04T02:49+02:00,nacht_referentie,2345,0.0,0,26.3,49.7,50000.0,20.5,,,5,1,1
2026-09-04T03:16+02:00,nacht_referentie,2341,0.0,0,28.8,54.0,50000.0,20.5,,,5,1,1
2026-09-04T03:44+02:00,nacht_referentie,2377,0.0,0,28.8,54.0,50000.0,20.5,,,5,1,1
2026-09-04T03:48+02:00,nacht_referentie,2347,0.0,0,28.8,54.0,50000.0,20.5,,,5,1,1
