from_zone,from_naam,to_zone,to_naam,meters,freeflow_s,werkdag_ochtendspits_s,werkdag_dal_s,werkdag_avondspits_s,werkdag_avond_s,weekend_middag_s
Z00,'s-Gravenland,Z00,'s-Gravenland,0,108,108,108,108,108,108
Z00,'s-Gravenland,Z01,Afrikaanderwijk,9396,792,1186,876,1265,790,964
Z00,'s-Gravenland,Z02,Agniesebuurt,6180,754,954,826,992,750,895
Z00,'s-Gravenland,Z03,Bedrijvenpark Noord-West,16148,1009,1620,1086,1752,1007,1194
Z00,'s-Gravenland,Z04,Bergpolder,10614,734,1132,789,1217,732,862
Z00,'s-Gravenland,Z05,Beverwaard,9402,790,1155,866,1229,787,948
Z00,'s-Gravenland,Z06,Blijdorp,10197,816,1265,887,1356,813,974
Z00,'s-Gravenland,Z07,Blijdorpsepolder,12896,932,1428,997,1536,930,1087
Z00,'s-Gravenland,Z08,Bloemhof,9602,850,1245,929,1334,847,1012
Z00,'s-Gravenland,Z09,Bospolder,9360,1024,1457,1145,1541,1020,1258
Z00,'s-Gravenland,Z10,Carnisse,10906,965,1452,1068,1560,963,1173
Z00,'s-Gravenland,Z11,Charlois Zuidrand,18941,1125,1793,1200,1942,1123,1313
Z00,'s-Gravenland,Z12,Cool,6480,691,938,772,990,688,843
Z00,'s-Gravenland,Z13,Cs Kwartier,7898,860,1193,965,1249,856,1057
Z00,'s-Gravenland,Z14,De Esch,3406,391,516,431,538,390,465
Z00,'s-Gravenland,Z15,Delfshaven,8426,877,1212,986,1278,874,1089
Z00,'s-Gravenland,Z16,Dijkzigt,7151,738,1034,830,1080,735,910
Z00,'s-Gravenland,Z17,Feijenoord,9532,850,1209,924,1283,847,1007
Z00,'s-Gravenland,Z18,Groot IJsselmonde,8244,686,1021,752,1088,684,824
Z00,'s-Gravenland,Z19,Heijplaat,21482,1306,2077,1405,2243,1303,1543
Z00,'s-Gravenland,Z20,Het Lage Land,4956,511,729,561,769,508,615
Z00,'s-Gravenland,Z21,Hillegersberg Noord,8140,815,1151,928,1203,814,1019
Z00,'s-Gravenland,Z22,Hillegersberg Zuid,7916,805,1149,921,1211,802,1024
Z00,'s-Gravenland,Z23,Hillesluis,9041,765,1154,848,1231,762,934
Z00,'s-Gravenland,Z24,Hoogvliet Noord,24144,1330,2190,1419,2381,1327,1560
Z00,'s-Gravenland,Z25,Hoogvliet Zuid,24452,1495,2449,1635,2650,1491,1808
Z00,'s-Gravenland,Z26,Katendrecht,8988,964,1362,1086,1444,962,1198
Z00,'s-Gravenland,Z27,Kleinpolder,12142,798,1264,854,1365,796,936
Z00,'s-Gravenland,Z28,Kop van Zuid,7142,763,1121,860,1207,760,943
Z00,'s-Gravenland,Z29,Kop van Zuid - Entrepot,9319,786,1173,892,1255,782,986
Z00,'s-Gravenland,Z30,Kralingen Oost,2527,318,399,350,415,316,371
Z00,'s-Gravenland,Z31,Kralingen West,4015,449,583,500,606,447,548
Z00,'s-Gravenland,Z32,Kralingse Bos,4749,583,732,629,763,582,670
Z00,'s-Gravenland,Z33,Kralingseveer,4068,447,597,480,639,445,515
Z00,'s-Gravenland,Z34,Liskwartier,6728,719,965,805,1056,716,883
Z00,'s-Gravenland,Z35,Lombardijen,9621,810,1210,898,1285,808,989
Z00,'s-Gravenland,Z36,Middelland,7789,840,1169,939,1230,838,1030
Z00,'s-Gravenland,Z37,Molenlaankwartier,6964,695,984,791,1028,694,875
Z00,'s-Gravenland,Z38,Nesselande,11753,963,1427,1073,1515,960,1185
Z00,'s-Gravenland,Z39,Nieuw Crooswijk,5811,662,912,744,964,658,815
Z00,'s-Gravenland,Z40,Nieuwe Werk,7438,816,1164,914,1249,814,998
Z00,'s-Gravenland,Z41,Nieuwe Westen,8512,956,1309,1047,1366,954,1154
Z00,'s-Gravenland,Z42,Noord Kethel,18482,1289,2002,1395,2150,1286,1533
Z00,'s-Gravenland,Z43,Noordereiland,6722,725,1034,815,1095,723,899
Z00,'s-Gravenland,Z44,Ommoord,6743,716,994,806,1039,714,885
Z00,'s-Gravenland,Z45,Oosterflank,4945,594,826,655,862,591,714
Z00,'s-Gravenland,Z46,Oud Charlois,9937,1034,1541,1157,1655,1032,1273
Z00,'s-Gravenland,Z47,Oud Crooswijk,4914,540,735,608,769,538,668
Z00,'s-Gravenland,Z48,Oud IJsselmonde,6670,541,791,585,846,538,637
Z00,'s-Gravenland,Z49,Oud Mathenesse,14918,991,1592,1068,1720,989,1178
