from_zone,to_zone,from_naam,to_naam,freeflow_s,meters
Z00,Z00,'s-Gravenland,'s-Gravenland,108,0
Z00,Z01,'s-Gravenland,Afrikaanderwijk,792,9396
Z00,Z02,'s-Gravenland,Agniesebuurt,754,6180
Z00,Z03,'s-Gravenland,Bedrijvenpark Noord-West,1009,16148
Z00,Z04,'s-Gravenland,Bergpolder,734,10614
Z00,Z05,'s-Gravenland,Beverwaard,790,9402
Z00,Z06,'s-Gravenland,Blijdorp,816,10197
Z00,Z07,'s-Gravenland,Blijdorpsepolder,932,12896
Z00,Z08,'s-Gravenland,Bloemhof,850,9602
Z00,Z09,'s-Gravenland,Bospolder,1024,9360
Z00,Z10,'s-Gravenland,Carnisse,965,10906
Z00,Z11,'s-Gravenland,Charlois Zuidrand,1125,18941
Z00,Z12,'s-Gravenland,Cool,691,6480
Z00,Z13,'s-Gravenland,Cs Kwartier,860,7898
Z00,Z14,'s-Gravenland,De Esch,391,3406
Z00,Z15,'s-Gravenland,Delfshaven,877,8426
Z00,Z16,'s-Gravenland,Dijkzigt,738,7151
Z00,Z17,'s-Gravenland,Feijenoord,850,9532
Z00,Z18,'s-Gravenland,Groot IJsselmonde,686,8244
Z00,Z19,'s-Gravenland,Heijplaat,1306,21482
Z00,Z20,'s-Gravenland,Het Lage Land,511,4956
Z00,Z21,'s-Gravenland,Hillegersberg Noord,815,8140
Z00,Z22,'s-Gravenland,Hillegersberg Zuid,805,7916
Z00,Z23,'s-Gravenland,Hillesluis,765,9041
Z00,Z24,'s-Gravenland,Hoogvliet Noord,1330,24144
Z00,Z25,'s-Gravenland,Hoogvliet Zuid,1495,24452
Z00,Z26,'s-Gravenland,Katendrecht,964,8988
Z00,Z27,'s-Gravenland,Kleinpolder,798,12142
Z00,Z28,'s-Gravenland,Kop van Zuid,763,7142
Z00,Z29,'s-Gravenland,Kop van Zuid - Entrepot,786,9319
Z00,Z30,'s-Gravenland,Kralingen Oost,318,2527
Z00,Z31,'s-Gravenland,Kralingen West,449,4015
Z00,Z32,'s-Gravenland,Kralingse Bos,583,4749
Z00,Z33,'s-Gravenland,Kralingseveer,447,4068
Z00,Z34,'s-Gravenland,Liskwartier,719,6728
Z00,Z35,'s-Gravenland,Lombardijen,810,9621
Z00,Z36,'s-Gravenland,Middelland,840,7789
Z00,Z37,'s-Gravenland,Molenlaankwartier,695,6964
Z00,Z38,'s-Gravenland,Nesselande,963,11753
Z00,Z39,'s-Gravenland,Nieuw Crooswijk,662,5811
Z00,Z40,'s-Gravenland,Nieuwe Werk,816,7438
Z00,Z41,'s-Gravenland,Nieuwe Westen,956,8512
Z00,Z42,'s-Gravenland,Noord Kethel,1289,18482
Z00,Z43,'s-Gravenland,Noordereiland,725,6722
Z00,Z44,'s-Gravenland,Ommoord,716,6743
Z00,Z45,'s-Gravenland,Oosterflank,594,4945
Z00,Z46,'s-Gravenland,Oud Charlois,1034,9937
Z00,Z47,'s-Gravenland,Oud Crooswijk,540,4914
Z00,Z48,'s-Gravenland,Oud IJsselmonde,541,6670
Z00,Z49,'s-Gravenland,Oud Mathenesse,991,14918
Z00,Z50,'s-Gravenland,Oude Noorden,670,6253
Z00,Z51,'s-Gravenland,Oude Westen,824,7431
Z00,Z52,'s-Gravenland,Overschie,962,14926
Z00,Z53,'s-Gravenland,Pendrecht,1091,12658
Z00,Z54,'s-Gravenland,Prinsenland,419,3323
Z00,Z55,'s-Gravenland,Provenierswijk,797,7548
Z00,Z56,'s-Gravenland,Rubroek,597,5153
Z00,Z57,'s-Gravenland,Schiebroek,880,12185
Z00,Z58,'s-Gravenland,Schiemond,958,9074
Z00,Z59,'s-Gravenland,Schieveen,953,15575
Z00,Z60,'s-Gravenland,Spangen,1077,13946
Z00,Z61,'s-Gravenland,Stadsdriehoek,588,5562
Z00,Z62,'s-Gravenland,Struisenburg,484,4620
Z00,Z63,'s-Gravenland,Tarwewijk,920,10624
Z00,Z64,'s-Gravenland,Terbregge,555,5524
Z00,Z65,'s-Gravenland,Tussendijken,1047,9331
Z00,Z66,'s-Gravenland,Vreewijk,802,9237
Z00,Z67,'s-Gravenland,Wielewaal,1267,11639
Z00,Z68,'s-Gravenland,Zestienhoven,879,13319
Z00,Z69,'s-Gravenland,Zevenkamp,716,9019
Z00,Z70,'s-Gravenland,Zuiderpark,963,10919
Z00,Z71,'s-Gravenland,Zuidplein,919,10494
Z00,Z72,'s-Gravenland,Zuidwijk,998,11038
Z01,Z00,Afrikaanderwijk,'s-Gravenland,848,9810
Z01,Z01,Afrikaanderwijk,Afrikaanderwijk,57,0
Z01,Z02,Afrikaanderwijk,Agniesebuurt,523,4394
Z01,Z03,Afrikaanderwijk,Bedrijvenpark Noord-West,992,10994
Z01,Z04,Afrikaanderwijk,Bergpolder,617,5591
Z01,Z05,Afrikaanderwijk,Beverwaard,635,6418
Z01,Z06,Afrikaanderwijk,Blijdorp,606,5521
Z01,Z07,Afrikaanderwijk,Blijdorpsepolder,854,7637
Z01,Z08,Afrikaanderwijk,Bloemhof,217,1324
Z01,Z09,Afrikaanderwijk,Bospolder,638,5847
Z01,Z10,Afrikaanderwijk,Carnisse,387,3202
Z01,Z11,Afrikaanderwijk,Charlois Zuidrand,677,6015
Z01,Z12,Afrikaanderwijk,Cool,358,3209
Z01,Z13,Afrikaanderwijk,Cs Kwartier,573,5035
Z01,Z14,Afrikaanderwijk,De Esch,663,7954
Z01,Z15,Afrikaanderwijk,Delfshaven,485,4570
Z01,Z16,Afrikaanderwijk,Dijkzigt,433,4087
Z01,Z17,Afrikaanderwijk,Feijenoord,226,1462
Z01,Z18,Afrikaanderwijk,Groot IJsselmonde,505,4765
Z01,Z19,Afrikaanderwijk,Heijplaat,925,8684
Z01,Z20,Afrikaanderwijk,Het Lage Land,816,11338
Z01,Z21,Afrikaanderwijk,Hillegersberg Noord,890,8293
Z01,Z22,Afrikaanderwijk,Hillegersberg Zuid,727,6817
Z01,Z23,Afrikaanderwijk,Hillesluis,171,1374
Z01,Z24,Afrikaanderwijk,Hoogvliet Noord,1023,12551
Z01,Z25,Afrikaanderwijk,Hoogvliet Zuid,1168,12886
Z01,Z26,Afrikaanderwijk,Katendrecht,261,1682
Z01,Z27,Afrikaanderwijk,Kleinpolder,789,7573
Z01,Z28,Afrikaanderwijk,Kop van Zuid,210,1738
Z01,Z29,Afrikaanderwijk,Kop van Zuid - Entrepot,138,870
Z01,Z30,Afrikaanderwijk,Kralingen Oost,629,6136
Z01,Z31,Afrikaanderwijk,Kralingen West,593,5233
Z01,Z32,Afrikaanderwijk,Kralingse Bos,918,7308
Z01,Z33,Afrikaanderwijk,Kralingseveer,668,8060
Z01,Z34,Afrikaanderwijk,Liskwartier,644,5722
Z01,Z35,Afrikaanderwijk,Lombardijen,471,4214
Z01,Z36,Afrikaanderwijk,Middelland,494,4736
Z01,Z37,Afrikaanderwijk,Molenlaankwartier,961,8948
Z01,Z38,Afrikaanderwijk,Nesselande,1282,17525
Z01,Z39,Afrikaanderwijk,Nieuw Crooswijk,735,6403
Z01,Z40,Afrikaanderwijk,Nieuwe Werk,418,3499
Z01,Z41,Afrikaanderwijk,Nieuwe Westen,626,5436
Z01,Z42,Afrikaanderwijk,Noord Kethel,1268,14420
