from_zone,to_zone,from_naam,to_naam,freeflow_s,meters
P10,P10,Stadsdriehoek (10),Stadsdriehoek (10),25,0
P10,P11,Stadsdriehoek (10),Stadsdriehoek (11),176,1194
P10,P20,Stadsdriehoek (10),Stadsdriehoek (20),99,688
P10,P21,Stadsdriehoek (10),Stadsdriehoek (21),142,1025
P10,P30,Stadsdriehoek (10),Cool (30),223,1912
P10,P31,Stadsdriehoek (10),Cool (31),212,1908
P10,P40,Stadsdriehoek (10),Cool (40),224,1834
P10,P41,Stadsdriehoek (10),Stadsdriehoek (41),216,1726
P10,P42,Stadsdriehoek (10),Dijkzigt (42),291,2586
P10,P50,Stadsdriehoek (10),Oude Westen (50),258,2275
P10,P51,Stadsdriehoek (10),Dijkzigt (51),219,1962
P10,P60,Stadsdriehoek (10),Cool (60),432,4138
P10,P120,Stadsdriehoek (10),Nieuwe Werk (120),383,3068
P10,P121,Stadsdriehoek (10),Nieuwe Werk (121),313,2642
P10,P200,Stadsdriehoek (10),Carnisse (200),606,5813
P10,P201,Stadsdriehoek (10),Zuidplein (201),622,5902
P10,P202,Stadsdriehoek (10),Carnisse (202),622,5840
P10,P210,Stadsdriehoek (10),Onbekend (210),716,7165
P10,P220,Stadsdriehoek (10),Charlois Zuidrand (220),838,8415
P10,P230,Stadsdriehoek (10),Tarwewijk (230),586,5272
P10,P232,Stadsdriehoek (10),Bloemhof (232),492,4724
P10,P240,Stadsdriehoek (10),Tarwewijk (240),544,4761
P10,P250,Stadsdriehoek (10),Oud Charlois (250),608,5797
P10,P260,Stadsdriehoek (10),Oud Charlois (260),700,6495
P10,P270,Stadsdriehoek (10),Wielewaal (270),805,7291
P10,P280,Stadsdriehoek (10),Pendrecht (280),776,7614
P10,P282,Stadsdriehoek (10),Zuiderpark (282),706,6991
P10,P290,Stadsdriehoek (10),Zuidwijk (290),788,7628
P10,P300,Stadsdriehoek (10),Hillesluis (300),518,4656
P10,P301,Stadsdriehoek (10),Hillesluis (301),481,4448
P10,P310,Stadsdriehoek (10),Vreewijk (310),712,6788
P10,P311,Stadsdriehoek (10),Vreewijk (311),716,6821
P10,P320,Stadsdriehoek (10),Kop van Zuid - Entrepot (320),376,3154
P10,P322,Stadsdriehoek (10),Kop van Zuid - Entrepot (322),304,2607
P10,P323,Stadsdriehoek (10),Kop van Zuid (323),325,3057
P10,P330,Stadsdriehoek (10),Afrikaanderwijk (330),458,4015
P10,P331,Stadsdriehoek (10),Afrikaanderwijk (331),417,3811
P10,P340,Stadsdriehoek (10),Bloemhof (340),544,4759
P10,P341,Stadsdriehoek (10),Hillesluis (341),577,5062
P10,P350,Stadsdriehoek (10),Katendrecht (350),517,4455
P10,P370,Stadsdriehoek (10),Noordereiland (370),259,2187
P10,P380,Stadsdriehoek (10),Feijenoord (380),404,3284
P10,P400,Stadsdriehoek (10),Oosterflank (400),662,6643
P10,P410,Stadsdriehoek (10),'s-Gravenland (410),607,5205
P10,P500,Stadsdriehoek (10),Middelland (500),343,3168
P10,P501,Stadsdriehoek (10),Middelland (501),343,3222
P10,P502,Stadsdriehoek (10),Dijkzigt (502),354,3170
P10,P503,Stadsdriehoek (10),Middelland (503),352,3226
P10,P504,Stadsdriehoek (10),Middelland (504),406,3270
P10,P510,Stadsdriehoek (10),Tussendijken (510),538,4457
P10,P511,Stadsdriehoek (10),Tussendijken (511),612,4952
P10,P513,Stadsdriehoek (10),Tussendijken (513),561,4964
P10,P520,Stadsdriehoek (10),Onbekend (520),653,6369
P10,P530,Stadsdriehoek (10),Nieuwe Westen (530),430,3738
P10,P531,Stadsdriehoek (10),Nieuwe Westen (531),503,4117
P10,P532,Stadsdriehoek (10),Nieuwe Westen (532),710,5455
P10,P540,Stadsdriehoek (10),Delfshaven (540),378,3609
P10,P560,Stadsdriehoek (10),Schiemond (560),444,3968
P10,P570,Stadsdriehoek (10),Oud Mathenesse (570),687,6837
P10,P580,Stadsdriehoek (10),Schiemond (580),524,4536
P10,P581,Stadsdriehoek (10),Bospolder (581),574,5395
P10,P600,Stadsdriehoek (10),Struisenburg (600),201,1478
P10,P610,Stadsdriehoek (10),Rubroek (610),191,1245
P10,P620,Stadsdriehoek (10),De Esch (620),379,3123
