uur,neerslag_mm,wind_kmh,windstoot_kmh,temp_c,zicht_m,sneeuw_cm,is_dag
2026-08-28T00:00,5.7,11.9,23.0,20.3,1580.0,,
2026-08-28T01:00,8.4,11.9,23.0,20.3,12960.0,,
2026-08-28T02:00,0.0,5.4,8.3,20.0,9820.0,,
2026-08-28T03:00,0.0,5.4,9.4,19.6,9820.0,,
2026-08-28T04:00,0.0,12.2,21.2,19.3,9920.0,,
2026-08-28T05:00,0.0,9.0,15.8,20.1,11140.0,,
2026-08-28T06:00,0.0,10.1,20.2,19.1,9180.0,,
2026-08-28T07:00,0.0,11.5,22.0,18.9,6680.0,,
2026-08-28T08:00,0.0,10.1,19.1,19.5,8220.0,,
2026-08-28T09:00,0.0,11.9,20.9,19.6,11660.0,,
2026-08-28T10:00,0.0,11.5,22.0,19.8,12360.0,,
2026-08-28T11:00,0.0,13.7,26.6,20.4,13600.0,,
2026-08-28T12:00,0.0,11.9,27.7,21.3,18680.0,,
2026-08-28T13:00,0.0,14.4,28.8,21.8,19300.0,,
2026-08-28T14:00,0.0,14.8,29.9,20.5,15060.0,,
2026-08-28T15:00,1.3,11.5,24.1,18.7,16640.0,,
2026-08-28T16:00,0.0,22.0,40.7,17.7,11520.0,,
2026-08-28T17:00,0.9,19.8,35.6,17.4,10000.0,,
2026-08-28T18:00,0.3,17.6,32.0,17.8,50000.0,,
2026-08-28T19:00,0.0,15.8,30.2,18.2,50000.0,,
2026-08-28T20:00,0.0,19.1,35.3,17.9,50000.0,,
2026-08-28T21:00,0.0,22.3,40.7,18.8,50000.0,,
2026-08-28T22:00,0.0,23.4,42.8,18.9,14640.0,,
2026-08-28T23:00,0.0,24.8,44.6,18.1,12420.0,,
2026-08-29T00:00,0.0,23.8,45.0,17.9,13180.0,0.0,0
2026-08-29T01:00,0.0,25.2,47.9,17.9,12420.0,0.0,0
2026-08-29T02:00,0.0,25.6,46.8,17.3,11260.0,0.0,0
2026-08-29T03:00,0.0,24.5,45.0,17.3,11560.0,0.0,0
2026-08-29T04:00,0.0,26.3,46.4,17.7,12020.0,0.0,0
2026-08-29T05:00,0.0,24.1,43.6,17.1,8400.0,0.0,0
2026-08-29T06:00,0.7,26.6,49.0,17.3,50000.0,0.0,0
2026-08-29T07:00,0.7,27.7,50.8,17.3,9880.0,0.0,1
2026-08-29T08:00,0.3,28.4,51.8,17.5,10520.0,0.0,1
2026-08-29T09:00,0.0,22.7,43.2,17.7,11320.0,0.0,1
2026-08-29T10:00,0.0,23.0,42.5,18.4,11580.0,0.0,1
2026-08-29T11:00,0.0,20.9,40.0,19.8,16120.0,0.0,1
2026-08-29T12:00,0.0,19.1,37.4,21.0,50000.0,0.0,1
2026-08-29T13:00,0.0,19.1,38.5,21.6,21580.0,0.0,1
2026-08-29T14:00,0.0,20.9,39.2,21.6,21460.0,0.0,1
2026-08-29T15:00,0.1,17.3,33.1,20.3,16920.0,0.0,1
2026-08-29T16:00,0.1,18.7,36.0,19.4,14540.0,0.0,1
2026-08-29T17:00,0.7,18.4,35.6,18.6,12480.0,0.0,1
2026-08-29T18:00,0.9,14.4,29.5,18.6,19320.0,0.0,1
2026-08-29T19:00,1.3,19.8,40.3,18.6,50000.0,0.0,1
2026-08-29T20:00,0.0,24.8,45.7,18.5,9840.0,0.0,1
2026-08-29T21:00,0.5,19.1,36.7,18.4,8460.0,0.0,0
2026-08-29T22:00,7.9,24.1,46.4,19.0,9980.0,0.0,0
2026-08-29T23:00,0.0,26.3,54.4,19.2,9800.0,0.0,0
2026-08-30T00:00,0.1,31.3,58.3,19.1,50000.0,0.0,0
2026-08-30T01:00,0.3,32.4,61.6,18.9,50000.0,0.0,0
2026-08-30T02:00,0.5,30.6,58.7,18.6,50000.0,0.0,0
2026-08-30T03:00,0.5,30.2,56.5,18.5,50000.0,0.0,0
2026-08-30T04:00,0.0,28.4,52.6,18.3,50000.0,0.0,0
2026-08-30T05:00,0.0,27.7,51.5,18.3,50000.0,0.0,0
2026-08-30T06:00,0.0,27.0,50.4,17.9,50000.0,0.0,0
2026-08-30T07:00,0.5,26.3,46.4,18.1,8300.0,0.0,1
2026-08-30T08:00,0.3,22.3,42.1,17.9,7980.0,0.0,1
2026-08-30T09:00,3.1,23.8,43.9,18.5,26780.0,0.0,1
2026-08-30T10:00,0.1,27.4,47.9,18.9,50000.0,0.0,1
2026-08-30T11:00,0.0,23.0,42.1,18.8,11200.0,0.0,1
